edgeID,GROUP1,GROUP2,GROUP3,POPULATION,NULLGROUP
0,37,7,5,53,60
1,0,0,0,0,0
2,0,0,0,0,0
3,33,10,15,64,34
4,0,0,0,0,0
5,1,0,6,9,18
6,0,0,0,0,0
7,0,0,0,0,17
8,0,0,0,0,0
9,0,0,0,0,17
10,0,0,0,0,0
11,0,0,0,0,0
12,73,22,27,124,133
13,73,22,27,124,133
14,72,22,21,115,115
15,39,12,6,51,81
16,0,0,0,0,0
17,1,0,6,9,18
18,0,0,0,0,0
19,0,0,0,0,0
20,33,10,15,64,34
21,1,0,6,9,16
22,66,15,33,115,62
23,148,33,44,225,223
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,2
27,32,4,17,49,40
28,0,0,0,0,2
29,147,33,38,216,207
30,65,15,27,106,46
31,82,18,11,110,161
32,0,0,0,0,2
33,1,0,6,9,20
34,0,0,0,0,0
35,0,0,0,0,0
36,220,55,65,340,340
37,0,0,0,0,17
38,0,0,0,0,17
39,0,0,0,0,17
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
