edgeID,GROUP1,GROUP2,GROUP3,POPULATION,NULLGROUP
0,48,12,4,54,75
1,0,0,0,0,0
2,0,0,0,0,0
3,38,10,14,65,31
4,0,0,0,0,0
5,4,2,5,11,18
6,0,0,0,0,0
7,0,0,0,0,22
8,0,0,0,0,0
9,0,0,0,0,22
10,0,0,0,0,0
11,0,0,0,0,0
12,82,21,27,130,137
13,82,21,27,130,137
14,78,19,22,119,119
15,40,9,8,54,88
16,0,0,0,0,0
17,4,2,5,11,18
18,0,0,0,0,0
19,0,0,0,0,0
20,38,10,14,65,31
21,4,2,5,11,17
22,67,16,36,120,61
23,142,36,43,221,220
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,1
27,32,9,19,70,48
28,0,0,0,0,1
29,138,34,38,210,203
30,63,14,31,109,44
31,75,20,7,101,159
32,0,0,0,0,1
33,4,2,5,11,19
34,0,0,0,0,0
35,0,0,0,0,0
36,220,55,65,340,340
37,0,0,0,0,22
38,0,0,0,0,22
39,0,0,0,0,22
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
