edgeID,GROUP1,GROUP2,GROUP3,POPULATION,NULLGROUP
0,40,6,5,45,69
1,0,0,0,0,0
2,0,0,0,0,0
3,40,8,20,56,27
4,0,0,0,0,0
5,2,1,2,15,15
6,0,0,0,0,0
7,0,0,0,0,24
8,0,0,0,0,0
9,0,0,0,0,24
10,0,0,0,0,0
11,0,0,0,0,0
12,66,18,28,122,122
13,66,18,28,122,122
14,64,17,26,107,107
15,24,9,6,51,80
16,0,0,0,0,0
17,2,1,2,15,15
18,0,0,0,0,0
19,0,0,0,0,0
20,40,8,20,56,27
21,2,1,2,15,11
22,75,22,27,124,52
23,156,38,39,233,229
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,4
27,32,8,16,62,34
28,0,0,0,0,4
29,154,37,37,218,218
30,73,21,25,109,41
31,81,16,12,109,177
32,0,0,0,0,4
33,2,1,2,15,19
34,0,0,0,0,0
35,0,0,0,0,0
36,220,55,65,340,340
37,0,0,0,0,24
38,0,0,0,0,24
39,0,0,0,0,24
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
