edgeID,GROUP1,GROUP2,GROUP3,POPULATION,NULLGROUP
0,39,10,2,48,60
1,0,0,0,0,0
2,0,0,0,0,0
3,35,9,18,67,29
4,0,0,0,0,0
5,3,3,4,9,16
6,0,0,0,0,0
7,0,0,0,0,19
8,0,0,0,0,0
9,0,0,0,0,19
10,0,0,0,0,0
11,0,0,0,0,0
12,74,21,33,127,134
13,74,21,33,127,134
14,71,18,29,118,118
15,36,9,11,51,89
16,0,0,0,0,0
17,3,3,4,9,16
18,0,0,0,0,0
19,0,0,0,0,0
20,35,9,18,67,29
21,3,3,4,9,14
22,76,21,27,127,63
23,149,37,36,222,220
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,2
27,37,6,10,56,42
28,0,0,0,0,2
29,146,34,32,213,206
30,73,18,23,118,49
31,73,16,9,95,157
32,0,0,0,0,2
33,3,3,4,9,18
34,0,0,0,0,0
35,0,0,0,0,0
36,220,55,65,340,340
37,0,0,0,0,19
38,0,0,0,0,19
39,0,0,0,0,19
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
