edgeID,GROUP1,GROUP2,GROUP3,POPULATION,NULLGROUP
0,43,8,13,51,68
1,0,0,0,0,0
2,0,0,0,0,0
3,32,12,13,51,30
4,0,0,0,0,0
5,5,3,3,7,19
6,0,0,0,0,0
7,0,0,0,0,13
8,0,0,0,0,0
9,0,0,0,0,13
10,0,0,0,0,0
11,0,0,0,0,0
12,74,23,24,117,129
13,74,23,24,117,129
14,69,20,21,110,110
15,37,8,8,59,80
16,0,0,0,0,0
17,5,3,3,7,19
18,0,0,0,0,0
19,0,0,0,0,0
20,32,12,13,51,30
21,5,3,3,7,12
22,75,19,25,121,68
23,151,35,44,230,223
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,7
27,32,9,12,66,42
28,0,0,0,0,7
29,146,32,41,223,211
30,70,16,22,114,56
31,76,16,19,109,155
32,0,0,0,0,7
33,5,3,3,7,26
34,0,0,0,0,0
35,0,0,0,0,0
36,220,55,65,340,340
37,0,0,0,0,13
38,0,0,0,0,13
39,0,0,0,0,13
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
