edgeID,GROUP1,GROUP2,GROUP3,POPULATION,NULLGROUP
0,34,4,7,47,68
1,0,0,0,0,0
2,0,0,0,0,0
3,38,9,8,50,24
4,0,0,0,0,0
5,2,4,7,10,22
6,0,0,0,0,0
7,0,0,0,0,20
8,0,0,0,0,0
9,0,0,0,0,20
10,0,0,0,0,0
11,0,0,0,0,0
12,70,23,20,110,122
13,70,23,20,110,122
14,68,19,13,100,100
15,30,10,5,50,76
16,0,0,0,0,0
17,2,4,7,10,22
18,0,0,0,0,0
19,0,0,0,0,0
20,38,9,8,50,24
21,2,4,7,10,15
22,73,27,39,137,56
23,152,36,52,240,233
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,7
27,38,14,20,70,42
28,0,0,0,0,7
29,150,32,45,230,218
30,71,23,32,127,41
31,79,9,13,103,177
32,0,0,0,0,7
33,2,4,7,10,29
34,0,0,0,0,0
35,0,0,0,0,0
36,220,55,65,340,340
37,0,0,0,0,20
38,0,0,0,0,20
39,0,0,0,0,20
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
