edgeID,GROUP1,GROUP2,GROUP3,POPULATION,NULLGROUP
0,30,9,16,48,70
1,0,0,0,0,0
2,0,0,0,0,0
3,47,10,12,54,31
4,0,0,0,0,0
5,1,3,3,12,17
6,0,0,0,0,0
7,0,0,0,0,16
8,0,0,0,0,0
9,0,0,0,0,16
10,0,0,0,0,0
11,0,0,0,0,0
12,72,19,21,117,122
13,72,19,21,117,122
14,71,16,18,105,105
15,24,6,6,51,74
16,0,0,0,0,0
17,1,3,3,12,17
18,0,0,0,0,0
19,0,0,0,0,0
20,47,10,12,54,31
21,1,3,3,12,9
22,80,19,25,133,54
23,149,39,47,235,227
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,8
27,35,10,11,63,33
28,0,0,0,0,8
29,148,36,44,223,218
30,79,16,22,121,45
31,69,20,22,102,173
32,0,0,0,0,8
33,1,3,3,12,25
34,0,0,0,0,0
35,0,0,0,0,0
36,220,55,65,340,340
37,0,0,0,0,16
38,0,0,0,0,16
39,0,0,0,0,16
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
