edgeID,GROUP1,GROUP2,GROUP3,POPULATION,NULLGROUP
0,33,9,5,44,54
1,0,0,0,0,0
2,0,0,0,0,0
3,36,13,7,62,31
4,0,0,0,0,0
5,2,1,8,9,21
6,0,0,0,0,0
7,0,0,0,0,19
8,0,0,0,0,0
9,0,0,0,0,19
10,0,0,0,0,0
11,0,0,0,0,0
12,76,18,23,115,127
13,76,18,23,115,127
14,74,17,15,106,106
15,38,4,8,44,75
16,0,0,0,0,0
17,2,1,8,9,21
18,0,0,0,0,0
19,0,0,0,0,0
20,36,13,7,62,31
21,2,1,8,9,15
22,70,21,33,128,65
23,146,38,50,234,228
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,6
27,30,9,18,60,44
28,0,0,0,0,6
29,144,37,42,225,213
30,68,20,25,119,50
31,76,17,17,106,163
32,0,0,0,0,6
33,2,1,8,9,27
34,0,0,0,0,0
35,0,0,0,0,0
36,220,55,65,340,340
37,0,0,0,0,19
38,0,0,0,0,19
39,0,0,0,0,19
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
