edgeID,GROUP1,GROUP2,GROUP3,POPULATION,NULLGROUP
0,39,9,8,55,69
1,0,0,0,0,0
2,0,0,0,0,0
3,34,7,11,58,24
4,0,0,0,0,0
5,2,5,3,18,18
6,0,0,0,0,0
7,0,0,0,0,25
8,0,0,0,0,0
9,0,0,0,0,25
10,0,0,0,0,0
11,0,0,0,0,0
12,73,22,23,126,126
13,73,22,23,126,126
14,71,17,20,108,108
15,37,10,9,50,84
16,0,0,0,0,0
17,2,5,3,18,18
18,0,0,0,0,0
19,0,0,0,0,0
20,34,7,11,58,24
21,2,5,3,18,11
22,72,22,28,131,60
23,149,38,45,232,225
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,7
27,35,14,14,64,43
28,0,0,0,0,7
29,147,33,42,214,214
30,70,17,25,113,49
31,77,16,17,101,165
32,0,0,0,0,7
33,2,5,3,18,25
34,0,0,0,0,0
35,0,0,0,0,0
36,220,55,65,340,340
37,0,0,0,0,25
38,0,0,0,0,25
39,0,0,0,0,25
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
