edgeID,GROUP1,GROUP2,GROUP3,POPULATION,NULLGROUP
0,34,11,11,57,67
1,0,0,0,0,0
2,0,0,0,0,0
3,35,6,13,65,27
4,0,0,0,0,0
5,7,0,8,9,18
6,0,0,0,0,0
7,0,0,0,0,24
8,0,0,0,0,0
9,0,0,0,0,24
10,0,0,0,0,0
11,0,0,0,0,0
12,77,14,28,113,122
13,77,14,28,113,122
14,70,14,20,104,104
15,35,8,7,39,77
16,0,0,0,0,0
17,7,0,8,9,18
18,0,0,0,0,0
19,0,0,0,0,0
20,35,6,13,65,27
21,7,0,8,9,15
22,79,19,26,125,63
23,150,41,45,236,233
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,3
27,39,10,12,60,47
28,0,0,0,0,3
29,143,41,37,227,218
30,72,19,18,116,48
31,71,22,19,111,170
32,0,0,0,0,3
33,7,0,8,9,21
34,0,0,0,0,0
35,0,0,0,0,0
36,220,55,65,340,340
37,0,0,0,0,24
38,0,0,0,0,24
39,0,0,0,0,24
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
