edgeID,GROUP1,GROUP2,GROUP3,POPULATION,NULLGROUP
0,42,9,9,66,64
1,0,0,0,0,0
2,0,0,0,0,0
3,31,8,10,54,26
4,0,0,0,0,0
5,5,3,4,8,18
6,0,0,0,0,0
7,0,0,0,0,23
8,0,0,0,0,0
9,0,0,0,0,23
10,0,0,0,0,0
11,0,0,0,0,0
12,80,20,24,120,130
13,80,20,24,120,130
14,75,17,20,112,112
15,44,9,10,58,86
16,0,0,0,0,0
17,5,3,4,8,18
18,0,0,0,0,0
19,0,0,0,0,0
20,31,8,10,54,26
21,5,3,4,8,11
22,83,21,27,118,61
23,145,38,45,228,221
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,7
27,40,10,13,57,52
28,0,0,0,0,7
29,140,35,41,220,210
30,78,18,23,110,50
31,62,17,18,110,160
32,0,0,0,0,7
33,5,3,4,8,25
34,0,0,0,0,0
35,0,0,0,0,0
36,220,55,65,340,340
37,0,0,0,0,23
38,0,0,0,0,23
39,0,0,0,0,23
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
