edgeID,GROUP1,GROUP2,GROUP3,POPULATION,NULLGROUP
0,42,6,9,52,61
1,0,0,0,0,0
2,0,0,0,0,0
3,28,13,14,55,19
4,0,0,0,0,0
5,3,1,1,11,22
6,0,0,0,0,0
7,0,0,0,0,25
8,0,0,0,0,0
9,0,0,0,0,25
10,0,0,0,0,0
11,0,0,0,0,0
12,65,25,21,117,128
13,65,25,21,117,128
14,62,24,20,106,106
15,34,11,6,51,87
16,0,0,0,0,0
17,3,1,1,11,22
18,0,0,0,0,0
19,0,0,0,0,0
20,28,13,14,55,19
21,3,1,1,11,18
22,75,18,28,124,65
23,158,31,45,234,230
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,4
27,33,9,12,59,46
28,0,0,0,0,4
29,155,30,44,223,212
30,72,17,27,113,47
31,83,13,17,110,165
32,0,0,0,0,4
33,3,1,1,11,26
34,0,0,0,0,0
35,0,0,0,0,0
36,220,55,65,340,340
37,0,0,0,0,25
38,0,0,0,0,25
39,0,0,0,0,25
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
