edgeID,GROUP1,GROUP2,GROUP3,POPULATION,NULLGROUP
0,33,8,1,51,63
1,0,0,0,0,0
2,0,0,0,0,0
3,34,12,17,62,21
4,0,0,0,0,0
5,2,3,6,9,21
6,0,0,0,0,0
7,0,0,0,0,24
8,0,0,0,0,0
9,0,0,0,0,24
10,0,0,0,0,0
11,0,0,0,0,0
12,75,19,33,125,137
13,75,19,33,125,137
14,73,16,27,116,116
15,39,4,10,54,95
16,0,0,0,0,0
17,2,3,6,9,21
18,0,0,0,0,0
19,0,0,0,0,0
20,34,12,17,62,21
21,2,3,6,9,16
22,79,26,31,109,62
23,147,39,38,224,219
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,5
27,42,14,15,62,45
28,0,0,0,0,5
29,145,36,32,215,203
30,77,23,25,100,46
31,68,13,7,115,157
32,0,0,0,0,5
33,2,3,6,9,26
34,0,0,0,0,0
35,0,0,0,0,0
36,220,55,65,340,340
37,0,0,0,0,24
38,0,0,0,0,24
39,0,0,0,0,24
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
