edgeID,GROUP1,GROUP2,GROUP3,POPULATION,NULLGROUP
0,40,13,11,68,81
1,0,0,0,0,0
2,0,0,0,0,0
3,21,11,15,50,18
4,0,0,0,0,0
5,4,2,1,4,17
6,0,0,0,0,0
7,0,0,0,0,19
8,0,0,0,0,0
9,0,0,0,0,19
10,0,0,0,0,0
11,0,0,0,0,0
12,66,19,21,103,116
13,66,19,21,103,116
14,62,17,20,99,99
15,41,6,5,49,81
16,0,0,0,0,0
17,4,2,1,4,17
18,0,0,0,0,0
19,0,0,0,0,0
20,21,11,15,50,18
21,4,2,1,4,13
22,76,12,26,121,58
23,158,38,45,241,237
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,4
27,48,6,11,61,44
28,0,0,0,0,4
29,154,36,44,237,224
30,72,10,25,117,45
31,82,26,19,120,179
32,0,0,0,0,4
33,4,2,1,4,21
34,0,0,0,0,0
35,0,0,0,0,0
36,220,55,65,340,340
37,0,0,0,0,19
38,0,0,0,0,19
39,0,0,0,0,19
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
