edgeID,GROUP1,GROUP2,GROUP3,POPULATION,NULLGROUP
0,42,9,10,39,78
1,0,0,0,0,0
2,0,0,0,0,0
3,37,7,12,56,32
4,0,0,0,0,0
5,5,4,6,13,13
6,0,0,0,0,0
7,0,0,0,0,17
8,0,0,0,0,0
9,0,0,0,0,17
10,0,0,0,0,0
11,0,0,0,0,0
12,80,19,28,125,125
13,80,19,28,125,125
14,75,15,22,112,112
15,38,8,10,56,80
16,0,0,0,0,0
17,5,4,6,13,13
18,0,0,0,0,0
19,0,0,0,0,0
20,37,7,12,56,32
21,5,4,6,13,10
22,72,15,27,136,58
23,145,40,43,228,225
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,3
27,30,11,13,76,34
28,0,0,0,0,3
29,140,36,37,215,215
30,67,11,21,123,48
31,73,25,16,92,167
32,0,0,0,0,3
33,5,4,6,13,16
34,0,0,0,0,0
35,0,0,0,0,0
36,220,55,65,340,340
37,0,0,0,0,17
38,0,0,0,0,17
39,0,0,0,0,17
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
