edgeID,GROUP1,GROUP2,GROUP3,POPULATION,NULLGROUP
0,36,7,3,47,65
1,0,0,0,0,0
2,0,0,0,0,0
3,35,10,18,68,29
4,0,0,0,0,0
5,3,0,3,10,13
6,0,0,0,0,0
7,0,0,0,0,10
8,0,0,0,0,0
9,0,0,0,0,10
10,0,0,0,0,0
11,0,0,0,0,0
12,80,20,31,135,138
13,80,20,31,135,138
14,77,20,28,125,125
15,42,10,10,57,96
16,0,0,0,0,0
17,3,0,3,10,13
18,0,0,0,0,0
19,0,0,0,0,0
20,35,10,18,68,29
21,3,0,3,10,8
22,68,18,28,115,50
23,143,35,37,215,210
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,5
27,28,7,14,48,25
28,0,0,0,0,5
29,140,35,34,205,202
30,65,18,25,105,42
31,75,17,9,100,160
32,0,0,0,0,5
33,3,0,3,10,18
34,0,0,0,0,0
35,0,0,0,0,0
36,220,55,65,340,340
37,0,0,0,0,10
38,0,0,0,0,10
39,0,0,0,0,10
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
