edgeID,GROUP1,GROUP2,GROUP3,POPULATION,NULLGROUP
0,39,11,10,50,64
1,0,0,0,0,0
2,0,0,0,0,0
3,34,11,16,62,24
4,0,0,0,0,0
5,2,1,2,6,12
6,0,0,0,0,0
7,0,0,0,0,29
8,0,0,0,0,0
9,0,0,0,0,29
10,0,0,0,0,0
11,0,0,0,0,0
12,67,21,24,113,119
13,67,21,24,113,119
14,65,20,22,107,107
15,31,9,6,45,83
16,0,0,0,0,0
17,2,1,2,6,12
18,0,0,0,0,0
19,0,0,0,0,0
20,34,11,16,62,24
21,2,1,2,6,10
22,71,20,23,127,54
23,155,35,43,233,231
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,2
27,36,8,4,58,42
28,0,0,0,0,2
29,153,34,41,227,221
30,69,19,21,121,44
31,84,15,20,106,177
32,0,0,0,0,2
33,2,1,2,6,14
34,0,0,0,0,0
35,0,0,0,0,0
36,220,55,65,340,340
37,0,0,0,0,29
38,0,0,0,0,29
39,0,0,0,0,29
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
