edgeID,GROUP1,GROUP2,GROUP3,POPULATION,NULLGROUP
0,35,10,6,55,70
1,0,0,0,0,0
2,0,0,0,0,0
3,30,10,16,52,23
4,0,0,0,0,0
5,5,1,4,7,19
6,0,0,0,0,0
7,0,0,0,0,16
8,0,0,0,0,0
9,0,0,0,0,16
10,0,0,0,0,0
11,0,0,0,0,0
12,73,22,25,117,129
13,73,22,25,117,129
14,68,21,21,110,110
15,38,11,5,58,87
16,0,0,0,0,0
17,5,1,4,7,19
18,0,0,0,0,0
19,0,0,0,0,0
20,30,10,16,52,23
21,5,1,4,7,14
22,84,18,29,120,60
23,152,34,44,230,225
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,5
27,41,10,16,63,43
28,0,0,0,0,5
29,147,33,40,223,211
30,79,17,25,113,46
31,68,16,15,110,165
32,0,0,0,0,5
33,5,1,4,7,24
34,0,0,0,0,0
35,0,0,0,0,0
36,220,55,65,340,340
37,0,0,0,0,16
38,0,0,0,0,16
39,0,0,0,0,16
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
