edgeID,GROUP1,GROUP2,GROUP3,POPULATION,NULLGROUP
0,41,6,8,60,66
1,0,0,0,0,0
2,0,0,0,0,0
3,32,9,8,58,24
4,0,0,0,0,0
5,4,3,3,11,18
6,0,0,0,0,0
7,0,0,0,0,12
8,0,0,0,0,0
9,0,0,0,0,12
10,0,0,0,0,0
11,0,0,0,0,0
12,76,25,23,125,132
13,76,25,23,125,132
14,72,22,20,114,114
15,40,13,12,56,90
16,0,0,0,0,0
17,4,3,3,11,18
18,0,0,0,0,0
19,0,0,0,0,0
20,32,9,8,58,24
21,4,3,3,11,14
22,69,20,31,119,57
23,148,33,45,226,222
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,4
27,34,13,12,54,44
28,0,0,0,0,4
29,144,30,42,215,208
30,65,17,28,108,43
31,79,13,14,107,165
32,0,0,0,0,4
33,4,3,3,11,22
34,0,0,0,0,0
35,0,0,0,0,0
36,220,55,65,340,340
37,0,0,0,0,12
38,0,0,0,0,12
39,0,0,0,0,12
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
